id,order_date,ship_mode,customer_id,sales,name,segment,state,city,store_id,total_price,base_price,units_sold,year,month
100293,2014-03-14,Standard,NF-18475,91.056,Neil Franzosisch,Home Office,Illinois,Rockford,9132,209.475,209.475,59,2014,3
100328,2014-01-28,Standard,JC-15340,3.928,Jasper Cacioppo,Consumer,California,Los Angeles,9164,140.3625,166.0125,46,2014,1
100363,2014-04-08,Standard,JM-15655,21.376,Jim Mitchum,Corporate,New Jersey,Bridgeton,9190,164.5875,164.5875,24,2014,4
100391,2014-05-25,Standard,BW-11065,14.62,Barry Weirich,Consumer,North Carolina,Raleigh,9221,230.1375,230.1375,15,2014,5
100678,2014-04-18,Standard,KM-16720,697.074,Kunst Miller,Consumer,California,Los Angeles,9479,211.6125,237.975,7,2014,4
100762,2014-11-24,Standard,NG-18355,508.62,Nat Gilpin,Corporate,New York,New York City,9532,123.975,123.975,13,2014,11
100860,2014-03-26,Second,CS-12505,18.75,Cindy Stewart,Consumer,North Carolina,Thomasville,9613,215.8875,215.8875,26,2014,3
100881,2014-03-28,Standard,DR-12940,302.376,Daniel Raglin,Home Office,Massachusetts,Franklin,9632,205.9125,205.9125,4,2014,3
100916,2014-10-21,Standard,FH-14275,788.86,Frank Hawley,Corporate,Indiana,La Porte,9700,206.625,206.625,14,2014,10
100972,2014-11-19,Second,DB-13360,166.44,Dennis Bolton,Home Office,New York,New York City,9745,197.3625,233.7,28,2014,11
101147,2014-12-02,First,MC-17575,2.394,Matt Collins,Consumer,Ohio,Cincinnati,9872,205.9125,205.9125,25,2014,12
101266,2014-08-27,Second,MM-17920,13.36,Michael Moore,Consumer,California,San Francisco,9909,213.0375,213.0375,28,2014,8
101364,2014-12-22,Standard,TW-21025,296.712,Tamara Willingham,Home Office,Arizona,Scottsdale,8095,139.65,165.3,135,2014,12
101392,2014-12-07,Standard,AS-10630,269.36,Ann Steele,Home Office,Texas,Pasadena,8094,188.1,188.1,58,2014,12
101427,2014-12-26,Standard,AY-10555,8.016,Andy Yotov,Corporate,California,Oceanside,8063,318.4875,469.5375,48,2014,12
101462,2014-04-20,Standard,BP-11230,59.92,Benjamin Patterson,Consumer,Washington,Spokane,8058,132.525,132.525,20,2014,4
101476,2014-09-12,First,SD-20485,69.99,Shirley Daniels,Home Office,New York,New Rochelle,8058,318.4875,498.0375,66,2014,9
101560,2014-11-28,Second,CS-12250,542.34,Chris Selesnick,Corporate,Louisiana,Bossier City,8317,188.1,188.1,149,2014,11
101602,2014-12-15,First,MC-18100,803.96,Mick Crebagga,Consumer,Texas,El Paso,8392,312.7875,312.7875,12,2014,12
101770,2014-03-31,Standard,KB-16240,1.869,Karen Bern,Corporate,California,Los Angeles,8991,216.6,216.6,13,2014,3
101931,2014-10-28,First,TS-21370,1252.602,Todd Sumrall,Corporate,New York,New York City,9164,140.3625,166.0125,76,2014,10
102008,2014-09-30,Standard,RA-19915,48.94,Russell Applegate,Consumer,Texas,Houston,9250,106.1625,106.1625,30,2014,9
102085,2014-10-04,Standard,JD-16015,29.24,Joy Daniels,Consumer,Illinois,Chicago,9281,312.7875,312.7875,22,2014,10
102274,2014-11-21,Standard,DH-13075,865.5,Dave Hallsten,Corporate,Kentucky,Richmond,9456,321.3375,469.5375,73,2014,11
102295,2014-11-24,Second,EH-13990,120.712,Erica Hackney,Consumer,Georgia,Roswell,9479,318.4875,469.5375,48,2014,11
